,0
0,-93.94679701188947
1,-176.5392399083736
2,-381.09872700836536
3,-55.27349104827573
4,-137.17816691544758
5,-3.896851786619436
6,-263.5784278833114
7,-77.27031664476357
8,-96.16610919312909
9,-74.64866875409852
10,-250.2111747046817
11,-218.50559281723514
12,-212.0913696899109
13,-315.31532812352873
14,138.1669134777256
15,-237.27957959101516
16,-15.877085485295652
17,-163.92329647838375
18,-294.1977289846671
19,-59.97019989516207
20,-120.21082355907755
21,-129.1917950500837
22,-51.91383090233602
23,-101.41869858686424
24,-26.949616973431517
25,-277.17679101010305
26,-17.745297282931645
27,-84.5399561897257
28,-599.8263211719486
29,-219.4478882776588
30,-147.24065259550312
31,-109.10405718898151
32,-91.04236706411999
33,-252.3626507712785
34,-286.9809835587736
35,-154.12118086546064
36,-83.49937288820502
37,-194.32888888003652
38,-167.66744313319236
39,-145.822400888515
40,-196.4135676446503
41,-41.848771141338695
42,-175.0964487368131
43,-135.72888143110447
44,200.71468730241165
45,-468.48811598531114
46,-201.33392170094936
47,-158.1688009790181
48,-159.94759942189006
49,-263.13166485869016
50,-50.14679607956292
51,-231.12654201452656
52,-200.22337065952644
53,-156.0037176606717
54,-157.9705260477823
55,-419.0742707908202
56,-145.6541916804086
57,-240.00733085540185
58,-81.61178043424174
59,-139.87782910698408
60,-577.227953289897
61,-178.10938015779226
62,-462.4328181890783
63,-168.97440206718056
64,-298.5033300347917
65,16.448443188710357
66,-222.28692122995858
67,-171.98551956734448
68,-304.1385582970652
69,-51.058730425137796
70,-386.1412023406757
71,-43.93246637896574
72,-479.79859456617515
73,-114.34297996266501
74,-217.81213171850365
75,-393.5964082921729
76,-307.7872738568882
77,-64.51432458848828
78,-76.51582583276195
79,-205.96493579001697
80,-244.80911074478342
81,-204.5364294047924
82,-99.88383151742444
83,-87.13398792666618
84,-178.77688194354621
85,-253.0839411226821
86,-201.09726188471345
87,-192.19231597486203
88,-241.159501497864
89,-248.89120760293895
90,-82.63018973931769
91,-236.52563350382377
92,53.109738718877054
93,-292.17998357462704
94,-270.45579326825896
95,-462.43430481508403
96,-194.3029974229735
97,-149.7109190466435
98,-177.8044900789463
99,-169.25363682489626
100,-770.5718467428077
101,-322.10191743091895
102,-117.70465322730465
103,-341.4936895642584
104,-238.43230864302274
105,-136.01709031731644
106,-621.7510701371378
107,-294.8091564464475
108,-162.2006737949491
109,-245.35750217783115
110,-271.28371654438763
111,-355.1040742794771
112,-197.25275842524587
113,-198.84860304650437
114,-527.4506698920984
115,-309.4712386166669
116,-251.2864368567944
117,-182.55906152431794
118,-614.9846405277779
119,-141.36089427904122
120,-339.54184847775474
121,-305.532516661792
122,-198.04752526419145
123,-717.6854887337946
124,-156.06486084262525
125,-979.4770618964161
126,-276.6856265908553
127,-719.632768904602
128,-506.6600999590272
129,-340.3697748664803
130,-417.2159137664307
131,-72.6072585449659
132,-345.9203219484407
133,-287.030203775643
134,-256.8736936157981
135,-109.70851223730784
136,-342.7387810473891
137,-225.67719899991351
138,-38.93146265668557
139,-145.7469101699828
140,-132.26810531601163
141,-135.7663377498829
142,-507.191970510407
143,-157.73695266363902
144,-379.2764025699305
145,-510.4658515482731
146,-365.48414918870895
147,-95.76581026200977
148,-361.0774337643259
149,-360.26356770514974
150,10.041564512522285
151,-412.65530606975153
152,-469.5100997288472
153,-48.92888563126191
154,-252.43493054626396
155,-261.15081208343753
156,-404.8085383961439
157,-300.44034014976256
158,-457.20958863126833
159,-338.0300111434816
160,-253.9751840152261
161,-710.2581503913765
162,-571.2509944077644
163,-736.1448518270154
164,-660.577941059473
165,-643.5110846438217
166,-654.618301255375
167,-620.3967254534348
168,-130.66589704799486
169,-395.0391814710217
170,-348.3768895118949
171,-29.919736573703887
172,-116.16485431740642
173,-782.4935477089999
174,-327.30998244043025
175,-337.98202014424015
176,-846.9211074093963
177,-257.8564182944781
178,-266.91628379359736
179,-217.52719919442853
180,-1023.3605671366818
181,-362.27876099487446
182,-470.6403974965353
183,-193.71693844852393
184,-393.642802539406
185,-512.3690047788369
186,-173.09463393787433
187,-133.4773448937442
188,-304.28345683384657
189,-165.34055698184568
190,-248.11708319694532
191,-158.54846392745935
192,-572.6271599389007
193,-578.3211258719678
194,-666.4970481269862
195,-746.4705781532862
196,-173.33161551230933
197,-539.8014077884006
198,-735.4572054428178
199,-572.1279457063349
