,0
0,-136.35495433385097
1,-45.29033793954376
2,-301.37592131243173
3,-421.9443407308689
4,-130.18280906673732
5,-149.2993770769695
6,-196.38785117439366
7,-299.20084066866104
8,-163.916015051678
9,-112.17507153283526
10,-166.98780234317033
11,-336.11602224046607
12,-267.21619287546935
13,-195.77700288711696
14,-80.57379044758827
15,-96.54543063654585
16,-71.43187276540212
17,-352.6484272541652
18,-95.04651900401488
19,-91.07722654848588
20,-108.93037162237222
21,-411.2915950480216
22,-20.939327298601086
23,-173.852795994418
24,-104.15621117077083
25,-95.50532440476405
26,-119.03011309906952
27,-248.3335345129329
28,-134.61869470693836
29,-494.30020501691035
30,-347.89145340938137
31,-159.13986050114136
32,-120.4423849252957
33,-84.00369456247925
34,-115.36462050412652
35,-227.25254793285166
36,-158.37306769283424
37,-169.26543981763808
38,-114.99176826916423
39,-143.10898956150027
40,-401.9791843566483
41,-75.69468971892132
42,-235.42501178913955
43,17.860980250403202
44,-188.44480768019054
45,-136.06142492793623
46,-387.76893340490784
47,-161.6866103639007
48,-164.27173932858312
49,-104.57142838275419
50,-136.50889968496273
51,-134.4572329037903
52,-76.02588838759303
53,-362.95385761661373
54,-269.3099770271317
55,-353.76685460382754
56,-243.2688957536297
57,-510.7670277810986
58,-363.41381381123296
59,-522.1082566879111
60,-517.6245699582523
61,-341.26623689880364
62,-390.60013008743107
63,-319.5828528639919
64,-245.7090400454662
65,-263.22132186903934
66,-137.36145500040914
67,-175.37620170545995
68,-249.5993436654687
69,-311.0822335840721
70,-226.86084808996537
71,-136.11481287094506
72,-565.9000274450494
73,-203.727026778903
74,-428.1048530024996
75,-592.2346784641184
76,-164.4864260571423
77,-239.25735138879264
78,-335.23992487078397
79,-150.70810816476052
80,-180.50003502119057
81,-349.9872713043734
82,-220.35612478725164
83,-150.96736682202362
84,-25.515661410613916
85,-98.60354636458386
86,-252.53381380007295
87,-129.28754332295253
88,-117.08893995167062
89,-241.97028896065976
90,-103.93909483584042
91,-159.58141616073794
92,-235.88317663064538
93,-337.26838762204386
94,-166.7669832320846
95,-296.17985762325964
96,-165.33214286508883
97,-60.32797227172918
98,-147.03892021273901
99,-165.83185446357783
100,-457.49291834958706
101,-247.0735855263689
102,-189.65781400135438
103,-512.4989318872921
104,-155.79341983582788
105,-385.7518024429993
106,-247.2419381070258
107,-296.2289299648094
108,-456.6443885220533
109,-134.79091289643605
110,-238.33240567401114
111,-312.41227416589777
112,-255.45637352852316
113,-290.5529382450212
114,-197.12854432503912
115,-128.1598072007269
116,-556.1450996166716
117,-262.7654857929201
118,-316.015424563886
119,-294.1053788099658
120,177.82470983004742
121,-240.1754289552181
122,-189.11011126427013
123,-220.05463917598803
124,-178.63888545785073
125,-146.32494360877175
126,-143.17391117151476
127,-243.94396145386492
128,-256.4418304968135
129,-223.6919443779181
130,-92.03018901923909
131,-211.856854042064
132,-509.4904554637863
133,-452.10286078617156
134,-93.04487096511328
135,-244.64748110756523
136,-676.2466649930026
137,-419.3614883975969
138,-487.9586367850584
139,-182.44179807532976
140,45.77576393645458
141,-217.22806317175346
142,-130.14558232453086
143,-156.50714231787873
144,-129.91745283990292
145,-232.87139477086885
146,-168.7407795036273
147,-179.76062895900748
148,-174.85573391948003
149,-111.62380933281837
150,-195.19453210191278
151,-199.4139719301229
152,-183.81467192239492
153,-180.9710777930107
154,-176.00402974839096
155,-355.38298359213513
156,-267.8237637550608
157,-571.9751025267622
158,-234.52680124415673
159,-87.58392557997341
160,-317.3452294374291
161,-257.2434532855018
162,-347.97309286334246
163,-234.2590647087094
164,-253.86753434449224
165,-146.6448445804794
166,-293.08754919686845
167,-338.9863312024171
168,-284.38124816065306
169,-607.5803051522087
170,-283.9719458353922
171,-99.27537449550276
172,-218.52177509808251
173,-173.54722733783615
174,-202.49334289183906
175,-303.4596646645281
176,-303.6209079185794
177,-277.41809240851234
178,-571.2412101384016
179,-232.9035953712446
180,-313.5450546453733
181,-276.567830108094
182,-172.82069738507482
183,-330.79476356573446
184,-429.35595524896047
185,-210.98365692699096
186,-241.94425559623556
187,-606.9980185562788
188,-266.01650918828557
189,-435.2904332247172
190,-250.7667606666708
191,-172.30101198433695
192,-511.91950694909707
193,-267.03174938570544
194,-173.6624267048827
195,-287.46026880881186
196,-227.73577040038924
197,-389.7641936634352
198,-324.55774173304815
199,-325.5557542660557
